,critic_name,top_critic,critic_publication,review_icon,review_quote,review_link,date_published,season,language,pos_tag,wordnet_pos,review_quote_processed
135,Chuck Bowen,True,Slant Magazine,fresh,"['always', 'series', 'expects', 'rewards', 'attention']",http://www.slantmagazine.com/tv/review/better-call-saul-season-three,"Apr 6, 2017",3,en,"[('always', 'RB'), ('series', 'NN'), ('expects', 'VBZ'), ('rewards', 'NNS'), ('attention', 'NN')]","[('always', 'r'), ('series', 'n'), ('expects', 'v'), ('rewards', 'n'), ('attention', 'n')]",always series expect reward attention
136,Angela Lutz,True,Village Voice,fresh,"['season', 'seems', 'primed', 'maintain', 'meditative', 'pace', 'jimmy', 'mike', 'middle', 'seismic', 'irreversible', 'shifts', 'personal', 'professional', 'lives', 'meaning', 'course', '``', 'breaking', 'bad', ""''"", 'right']",http://www.villagevoice.com/film/better-call-saul-finds-its-hero-striving-to-break-free-of-breaking-bad-9847674,"Apr 4, 2017",3,en,"[('season', 'NN'), ('seems', 'VBZ'), ('primed', 'VBN'), ('maintain', 'RB'), ('meditative', 'JJ'), ('pace', 'NN'), ('jimmy', 'NN'), ('mike', 'NN'), ('middle', 'JJ'), ('seismic', 'JJ'), ('irreversible', 'JJ'), ('shifts', 'NNS'), ('personal', 'JJ'), ('professional', 'JJ'), ('lives', 'NNS'), ('meaning', 'VBG'), ('course', 'NN'), ('``', '``'), ('breaking', 'JJ'), ('bad', 'JJ'), (""''"", ""''""), ('right', 'NN')]","[('season', 'n'), ('seems', 'v'), ('primed', 'v'), ('maintain', 'r'), ('meditative', 'a'), ('pace', 'n'), ('jimmy', 'n'), ('mike', 'n'), ('middle', 'a'), ('seismic', 'a'), ('irreversible', 'a'), ('shifts', 'n'), ('personal', 'a'), ('professional', 'a'), ('lives', 'n'), ('meaning', 'v'), ('course', 'n'), ('``', 'n'), ('breaking', 'a'), ('bad', 'a'), (""''"", 'n'), ('right', 'n')]",season seem prim maintain meditative pace jimmy mike middle seismic irreversible shift personal professional life mean course `` breaking bad '' right
137,Allison Keene,True,Collider,fresh,"['something', 'jimmy', 'specifically', 'spellbinding', 'calculated', 'charm', 'vulnerability', 'even', 'breaking', 'bad', 'encroaching', 'one', 'quick', 'want', 'leave', 'slippin', 'jimmy', 'behind']",http://collider.com/better-call-saul-season-3-review/,"Apr 4, 2017",3,en,"[('something', 'NN'), ('jimmy', 'NNS'), ('specifically', 'RB'), ('spellbinding', 'VBG'), ('calculated', 'VBN'), ('charm', 'NN'), ('vulnerability', 'NN'), ('even', 'RB'), ('breaking', 'VBG'), ('bad', 'JJ'), ('encroaching', 'VBG'), ('one', 'CD'), ('quick', 'NN'), ('want', 'NN'), ('leave', 'VBP'), ('slippin', 'VBN'), ('jimmy', 'NN'), ('behind', 'IN')]","[('something', 'n'), ('jimmy', 'n'), ('specifically', 'r'), ('spellbinding', 'v'), ('calculated', 'v'), ('charm', 'n'), ('vulnerability', 'n'), ('even', 'r'), ('breaking', 'v'), ('bad', 'a'), ('encroaching', 'v'), ('one', 'n'), ('quick', 'n'), ('want', 'n'), ('leave', 'v'), ('slippin', 'v'), ('jimmy', 'n'), ('behind', 'n')]",something jimmy specifically spellbind calculate charm vulnerability even break bad encroach one quick want leave slippin jimmy behind
138,Liam Mathews,False,TV.com,fresh,"['may', 'take', 'awhile', 'get', 'worth', 'arrives', 'journey', 'sure', 'pretty']",http://www.tv.com/news/better-call-saul-season-3-gets-off-to-a-slow-start-14906535260033934/,"Mar 28, 2017",3,en,"[('may', 'MD'), ('take', 'VB'), ('awhile', 'NN'), ('get', 'VB'), ('worth', 'JJ'), ('arrives', 'NNS'), ('journey', 'JJ'), ('sure', 'JJ'), ('pretty', 'NN')]","[('may', 'n'), ('take', 'v'), ('awhile', 'n'), ('get', 'v'), ('worth', 'a'), ('arrives', 'n'), ('journey', 'a'), ('sure', 'a'), ('pretty', 'n')]",may take awhile get worth arrives journey sure pretty
139,Liz Shannon Miller,True,indieWire,fresh,"['honestly', 'weird', 'better', 'call', 'saul', 'show', 'based', 'premise', 'halfway', 'decent', 'lawyer', 'becoming', 'completely', 'corrupt', 'crook', 'one', 'ethically', 'engaged', 'shows', 'television']",http://www.indiewire.com/2017/03/better-call-saul-season-3-review-1201797211/,"Mar 27, 2017",3,en,"[('honestly', 'RB'), ('weird', 'JJ'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('show', 'NN'), ('based', 'VBN'), ('premise', 'VB'), ('halfway', 'JJ'), ('decent', 'JJ'), ('lawyer', 'NN'), ('becoming', 'VBG'), ('completely', 'RB'), ('corrupt', 'JJ'), ('crook', 'NN'), ('one', 'CD'), ('ethically', 'RB'), ('engaged', 'VBN'), ('shows', 'NNS'), ('television', 'NN')]","[('honestly', 'r'), ('weird', 'a'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('show', 'n'), ('based', 'v'), ('premise', 'v'), ('halfway', 'a'), ('decent', 'a'), ('lawyer', 'n'), ('becoming', 'v'), ('completely', 'r'), ('corrupt', 'a'), ('crook', 'n'), ('one', 'n'), ('ethically', 'r'), ('engaged', 'v'), ('shows', 'n'), ('television', 'n')]",honestly weird well call saul show base premise halfway decent lawyer become completely corrupt crook one ethically engage show television
140,Stephen Puddicombe,False,We Got This Covered,fresh,"['better', 'call', 'saul', 'remains', 'singularly', 'distinctive', 'ever', 'even', 'moves', 'closer', 'world', 'parent', 'show', 'breaking', 'bad']",http://wegotthiscovered.com/tv/better-call-saul-season-3-review/,"Mar 26, 2017",3,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('remains', 'VBZ'), ('singularly', 'RB'), ('distinctive', 'JJ'), ('ever', 'RB'), ('even', 'RB'), ('moves', 'NNS'), ('closer', 'VBP'), ('world', 'NN'), ('parent', 'NN'), ('show', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('remains', 'v'), ('singularly', 'r'), ('distinctive', 'a'), ('ever', 'r'), ('even', 'r'), ('moves', 'n'), ('closer', 'v'), ('world', 'n'), ('parent', 'n'), ('show', 'n'), ('breaking', 'v'), ('bad', 'a')]",well call saul remain singularly distinctive ever even move closer world parent show break bad
141,Mikel Zorrilla,False,Espinof,fresh,"['transformation', 'jimmy', 'mcgill', ""'s"", 'saul', 'goodman', 'proving', 'much', 'exciting', 'journey', 'ever', 'expected', 'full', 'review', 'spanish']",https://www.espinof.com/criticas/better-call-saul-cierra-su-extraordinaria-temporada-4-paso-retorno-para-su-protagonista,"Jul 3, 2019",4,en,"[('transformation', 'NN'), ('jimmy', 'NN'), ('mcgill', 'NN'), (""'s"", 'POS'), ('saul', 'JJ'), ('goodman', 'NN'), ('proving', 'VBG'), ('much', 'JJ'), ('exciting', 'NN'), ('journey', 'NN'), ('ever', 'RB'), ('expected', 'VBN'), ('full', 'JJ'), ('review', 'NN'), ('spanish', 'JJ')]","[('transformation', 'n'), ('jimmy', 'n'), ('mcgill', 'n'), (""'s"", 'n'), ('saul', 'a'), ('goodman', 'n'), ('proving', 'v'), ('much', 'a'), ('exciting', 'n'), ('journey', 'n'), ('ever', 'r'), ('expected', 'v'), ('full', 'a'), ('review', 'n'), ('spanish', 'a')]",transformation jimmy mcgill 's saul goodman prove much exciting journey ever expect full review spanish
142,Stuart Heritage,True,Guardian,fresh,"['amazing', 'show', 'become', 'sense', 'self', 'puts', 'almost', 'everything', 'else', 'television']",https://www.theguardian.com/tv-and-radio/2018/oct/11/sall-good-man-how-better-call-saul-became-superior-to-breaking-bad,"Dec 22, 2018",4,en,"[('amazing', 'VBG'), ('show', 'NN'), ('become', 'JJ'), ('sense', 'NN'), ('self', 'NN'), ('puts', 'VBZ'), ('almost', 'RB'), ('everything', 'NN'), ('else', 'JJ'), ('television', 'NN')]","[('amazing', 'v'), ('show', 'n'), ('become', 'a'), ('sense', 'n'), ('self', 'n'), ('puts', 'v'), ('almost', 'r'), ('everything', 'n'), ('else', 'a'), ('television', 'n')]",amaze show become sense self put almost everything else television
143,Pratim D. Gupta,False,Film Companion,fresh,"['fan', 'breaking', 'bad', 'found', 'official', 'prequel', 'nothing', 'like', 'mother', 'show', 'especially', 'titular', 'character', 'well', 'things', 'changing', 'changing', 'fast']",https://www.filmcompanion.in/now-streaming-this-week-15-december-best-shows-of-2018,"Dec 20, 2018",4,en,"[('fan', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('found', 'VBN'), ('official', 'JJ'), ('prequel', 'NN'), ('nothing', 'NN'), ('like', 'IN'), ('mother', 'NN'), ('show', 'NN'), ('especially', 'RB'), ('titular', 'JJ'), ('character', 'NN'), ('well', 'RB'), ('things', 'NNS'), ('changing', 'VBG'), ('changing', 'VBG'), ('fast', 'RB')]","[('fan', 'n'), ('breaking', 'v'), ('bad', 'a'), ('found', 'v'), ('official', 'a'), ('prequel', 'n'), ('nothing', 'n'), ('like', 'n'), ('mother', 'n'), ('show', 'n'), ('especially', 'r'), ('titular', 'a'), ('character', 'n'), ('well', 'r'), ('things', 'n'), ('changing', 'v'), ('changing', 'v'), ('fast', 'r')]",fan break bad find official prequel nothing like mother show especially titular character well thing change change fast
144,Pablo Fernandez,False,Vix,fresh,"['like', 'wile', 'e.', 'coyote', 'pursuing', 'road', 'runner', 'jimmy', 'mcgill', 'realize', 'falling', 'high', 'cliff', 'unless', 'looks', 'full', 'review', 'spanish']",https://www.vix.com/es/series/208946/better-call-saul-temporada-4-un-paso-mas-cerca-del-abismo-y-de-breaking-bad,"Dec 10, 2018",4,en,"[('like', 'IN'), ('wile', 'NN'), ('e.', 'NN'), ('coyote', 'VBP'), ('pursuing', 'VBG'), ('road', 'NN'), ('runner', 'NN'), ('jimmy', 'NN'), ('mcgill', 'NN'), ('realize', 'VB'), ('falling', 'VBG'), ('high', 'JJ'), ('cliff', 'NN'), ('unless', 'IN'), ('looks', 'VBZ'), ('full', 'JJ'), ('review', 'NN'), ('spanish', 'JJ')]","[('like', 'n'), ('wile', 'n'), ('e.', 'n'), ('coyote', 'v'), ('pursuing', 'v'), ('road', 'n'), ('runner', 'n'), ('jimmy', 'n'), ('mcgill', 'n'), ('realize', 'v'), ('falling', 'v'), ('high', 'a'), ('cliff', 'n'), ('unless', 'n'), ('looks', 'v'), ('full', 'a'), ('review', 'n'), ('spanish', 'a')]",like wile e. coyote pursue road runner jimmy mcgill realize fall high cliff unless look full review spanish
145,Chris Ryan,False,The Ringer,fresh,"['peter', 'gould', 'vince', 'gilligan', 'make', 'breaking', 'bad', 'prequel', 'show', 'secondary', 'breaking', 'bad', 'characters', 'really', 'really', 'good']",https://www.theringer.com/tv/2018/12/3/18122854/best-television-shows-of-2018,"Dec 6, 2018",4,en,"[('peter', 'NN'), ('gould', 'MD'), ('vince', 'VB'), ('gilligan', 'JJ'), ('make', 'VB'), ('breaking', 'VBG'), ('bad', 'JJ'), ('prequel', 'NN'), ('show', 'NN'), ('secondary', 'JJ'), ('breaking', 'NN'), ('bad', 'JJ'), ('characters', 'NNS'), ('really', 'RB'), ('really', 'RB'), ('good', 'JJ')]","[('peter', 'n'), ('gould', 'n'), ('vince', 'v'), ('gilligan', 'a'), ('make', 'v'), ('breaking', 'v'), ('bad', 'a'), ('prequel', 'n'), ('show', 'n'), ('secondary', 'a'), ('breaking', 'n'), ('bad', 'a'), ('characters', 'n'), ('really', 'r'), ('really', 'r'), ('good', 'a')]",peter gould vince gilligan make break bad prequel show secondary breaking bad character really really good
146,Judy Berman,True,TIME Magazine,fresh,"['showing', 'us', 'one', 'individual', ""'s"", 'preordained', 'moral', 'downfall', 'better', 'call', 'saul', 'spent', 'season', '4', 'demonstrating', 'hypocritical', 'criminal', 'justice', 'system', 'ensnare', 'whole', 'class', 'people', 'life']",http://time.com/5419078/better-call-saul-season-4-justice-system-finale/,"Oct 10, 2018",4,en,"[('showing', 'VBG'), ('us', 'PRP'), ('one', 'CD'), ('individual', 'NN'), (""'s"", 'POS'), ('preordained', 'JJ'), ('moral', 'JJ'), ('downfall', 'NN'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('spent', 'NN'), ('season', 'NN'), ('4', 'CD'), ('demonstrating', 'VBG'), ('hypocritical', 'JJ'), ('criminal', 'JJ'), ('justice', 'NN'), ('system', 'NN'), ('ensnare', 'JJ'), ('whole', 'JJ'), ('class', 'NN'), ('people', 'NNS'), ('life', 'NN')]","[('showing', 'v'), ('us', 'n'), ('one', 'n'), ('individual', 'n'), (""'s"", 'n'), ('preordained', 'a'), ('moral', 'a'), ('downfall', 'n'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('spent', 'n'), ('season', 'n'), ('4', 'n'), ('demonstrating', 'v'), ('hypocritical', 'a'), ('criminal', 'a'), ('justice', 'n'), ('system', 'n'), ('ensnare', 'a'), ('whole', 'a'), ('class', 'n'), ('people', 'n'), ('life', 'n')]",show u one individual 's preordained moral downfall well call saul spent season 4 demonstrate hypocritical criminal justice system ensnare whole class people life
147,Emily St. James,True,Vox,fresh,"['yet', 'loved', 'way', 'series', 'slowly', 'shifted', 'focus', 'ways', 'true', 'protagonist', 'kim', 'character', 'still', 'chance', 'escape', 'rapidly', 'decaying', 'orbit', 'jimmy', 'finds', 'trapped']",https://www.vox.com/culture/2018/10/8/17953112/better-call-saul-season-4-finale-recap-winner-goodman,"Oct 10, 2018",4,en,"[('yet', 'RB'), ('loved', 'VBN'), ('way', 'NN'), ('series', 'NN'), ('slowly', 'RB'), ('shifted', 'JJ'), ('focus', 'NN'), ('ways', 'NNS'), ('true', 'JJ'), ('protagonist', 'NN'), ('kim', 'NN'), ('character', 'NN'), ('still', 'RB'), ('chance', 'NN'), ('escape', 'NN'), ('rapidly', 'RB'), ('decaying', 'VBG'), ('orbit', 'NN'), ('jimmy', 'JJ'), ('finds', 'NNS'), ('trapped', 'VBD')]","[('yet', 'r'), ('loved', 'v'), ('way', 'n'), ('series', 'n'), ('slowly', 'r'), ('shifted', 'a'), ('focus', 'n'), ('ways', 'n'), ('true', 'a'), ('protagonist', 'n'), ('kim', 'n'), ('character', 'n'), ('still', 'r'), ('chance', 'n'), ('escape', 'n'), ('rapidly', 'r'), ('decaying', 'v'), ('orbit', 'n'), ('jimmy', 'a'), ('finds', 'n'), ('trapped', 'v')]",yet love way series slowly shifted focus way true protagonist kim character still chance escape rapidly decay orbit jimmy find trap
148,Alan French,False,AwardsCircuit.com,fresh,"['longer', 'shadow', 'breaking', 'bad', 'instead', 'better', 'call', 'saul', 'taken', 'rightful', 'place', 'one', 'best', 'dramas', 'television']",http://www.awardscircuit.com/2018/08/17/tv-review-better-call-saul-allows-grief-and-anger-to-rise-to-the-next-level/,"Oct 10, 2018",4,en,"[('longer', 'RB'), ('shadow', 'JJ'), ('breaking', 'VBG'), ('bad', 'JJ'), ('instead', 'RB'), ('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('taken', 'VBN'), ('rightful', 'JJ'), ('place', 'NN'), ('one', 'CD'), ('best', 'JJS'), ('dramas', 'NN'), ('television', 'NN')]","[('longer', 'r'), ('shadow', 'a'), ('breaking', 'v'), ('bad', 'a'), ('instead', 'r'), ('better', 'r'), ('call', 'n'), ('saul', 'n'), ('taken', 'v'), ('rightful', 'a'), ('place', 'n'), ('one', 'n'), ('best', 'a'), ('dramas', 'n'), ('television', 'n')]",longer shadow break bad instead well call saul take rightful place one best drama television
149,Richard von Busack,False,MetroActive,fresh,"['every', 'episode', 'seems', 'like', 'calling', 'card', 'film', 'aspiring', 'director-the', 'cinematography', 'art', 'direction', 'labored-over', 'way', 'rare', 'movies']",http://www.metroactive.com/movies/Better-Call-Saul-0912.html,"Sep 13, 2018",4,en,"[('every', 'DT'), ('episode', 'NN'), ('seems', 'VBZ'), ('like', 'IN'), ('calling', 'VBG'), ('card', 'NN'), ('film', 'NN'), ('aspiring', 'VBG'), ('director-the', 'JJ'), ('cinematography', 'NN'), ('art', 'JJ'), ('direction', 'NN'), ('labored-over', 'JJ'), ('way', 'NN'), ('rare', 'JJ'), ('movies', 'NNS')]","[('every', 'n'), ('episode', 'n'), ('seems', 'v'), ('like', 'n'), ('calling', 'v'), ('card', 'n'), ('film', 'n'), ('aspiring', 'v'), ('director-the', 'a'), ('cinematography', 'n'), ('art', 'a'), ('direction', 'n'), ('labored-over', 'a'), ('way', 'n'), ('rare', 'a'), ('movies', 'n')]",every episode seem like call card film aspire director-the cinematography art direction labored-over way rare movie
150,Natalia Marcos,False,El Pais (Spain),fresh,"['saul', 'goodman', 'simmering', 'series', 'good', 'full', 'review', 'spanish']",https://elpais.com/cultura/2018/08/29/television/1535566087_291678.html,"Aug 30, 2018",4,en,"[('saul', 'JJ'), ('goodman', 'NN'), ('simmering', 'VBG'), ('series', 'NN'), ('good', 'JJ'), ('full', 'JJ'), ('review', 'NN'), ('spanish', 'JJ')]","[('saul', 'a'), ('goodman', 'n'), ('simmering', 'v'), ('series', 'n'), ('good', 'a'), ('full', 'a'), ('review', 'n'), ('spanish', 'a')]",saul goodman simmer series good full review spanish
151,Jacob Oller,False,Paste Magazine,fresh,"['series', 'fourth', 'season', 'inflicts', 'real', 'tragedy', 'upon', 'characters', 'catalyst', 'listlessness-and', 'better', 'call', 'saul', 'idle', 'hands', 'devil', ""'s"", 'workshop', 'bcs', 'everyone', 'open', 'business']",https://www.pastemagazine.com/articles/2018/08/why-better-call-saul-is-a-masterpiece-of-the-midli.html,"Aug 27, 2018",4,en,"[('series', 'NN'), ('fourth', 'JJ'), ('season', 'NN'), ('inflicts', 'NNS'), ('real', 'JJ'), ('tragedy', 'NN'), ('upon', 'IN'), ('characters', 'NNS'), ('catalyst', 'VBP'), ('listlessness-and', 'JJ'), ('better', 'JJR'), ('call', 'NN'), ('saul', 'NN'), ('idle', 'JJ'), ('hands', 'VBZ'), ('devil', 'NN'), (""'s"", 'POS'), ('workshop', 'NN'), ('bcs', 'NN'), ('everyone', 'NN'), ('open', 'JJ'), ('business', 'NN')]","[('series', 'n'), ('fourth', 'a'), ('season', 'n'), ('inflicts', 'n'), ('real', 'a'), ('tragedy', 'n'), ('upon', 'n'), ('characters', 'n'), ('catalyst', 'v'), ('listlessness-and', 'a'), ('better', 'a'), ('call', 'n'), ('saul', 'n'), ('idle', 'a'), ('hands', 'v'), ('devil', 'n'), (""'s"", 'n'), ('workshop', 'n'), ('bcs', 'n'), ('everyone', 'n'), ('open', 'a'), ('business', 'n')]",series fourth season inflicts real tragedy upon character catalyst listlessness-and good call saul idle hand devil 's workshop bcs everyone open business
152,Alci Rengifo,False,Entertainment Voice,fresh,"['fascinating', 'profile', 'interesting', 'characters', 'offered', 'us', 'interesting', 'plate', 'dark', 'consciences']",http://entertainmentvoice.com/2018/08/06/better-call-saul-quiet-tension-and-major-confessions-open-season-4/,"Aug 24, 2018",4,en,"[('fascinating', 'VBG'), ('profile', 'NN'), ('interesting', 'VBG'), ('characters', 'NNS'), ('offered', 'VBD'), ('us', 'PRP'), ('interesting', 'VBG'), ('plate', 'NN'), ('dark', 'NN'), ('consciences', 'NNS')]","[('fascinating', 'v'), ('profile', 'n'), ('interesting', 'v'), ('characters', 'n'), ('offered', 'v'), ('us', 'n'), ('interesting', 'v'), ('plate', 'n'), ('dark', 'n'), ('consciences', 'n')]",fascinate profile interest character offer u interest plate dark conscience
153,Andy Greenwald,False,The Watch,fresh,"['pretty', 'good', 'sense', 'give', 'candy', 'think', 'overplay', 'hand', 'also', 'makes', 'appreciate', 'character', 'like', 'nacho', '...']",https://www.theringer.com/2018/8/20/17762664/better-call-saul-is-back-plus-reviewing-summer-movies,"Aug 23, 2018",4,en,"[('pretty', 'RB'), ('good', 'JJ'), ('sense', 'NN'), ('give', 'VBP'), ('candy', 'NN'), ('think', 'VBP'), ('overplay', 'NN'), ('hand', 'NN'), ('also', 'RB'), ('makes', 'VBZ'), ('appreciate', 'JJ'), ('character', 'NN'), ('like', 'IN'), ('nacho', 'NNS'), ('...', ':')]","[('pretty', 'r'), ('good', 'a'), ('sense', 'n'), ('give', 'v'), ('candy', 'n'), ('think', 'v'), ('overplay', 'n'), ('hand', 'n'), ('also', 'r'), ('makes', 'v'), ('appreciate', 'a'), ('character', 'n'), ('like', 'n'), ('nacho', 'n'), ('...', 'n')]",pretty good sense give candy think overplay hand also make appreciate character like nacho ...
154,John Boland,False,Irish Independent,fresh,"['given', 'inventive', 'skills', 'gilligan', 'gould', 'marvelous', 'playing', 'bob', 'odenkirk', 'jimmy', '...', 'remain', 'hooked', 'began', 'three', 'years', 'ago']",https://www.independent.ie/entertainment/television/tv-reviews/review-hume-film-fails-to-provide-a-full-picture-of-complex-peacemaker-37201638.html,"Aug 14, 2018",4,en,"[('given', 'VBN'), ('inventive', 'JJ'), ('skills', 'NNS'), ('gilligan', 'NNS'), ('gould', 'VBP'), ('marvelous', 'JJ'), ('playing', 'VBG'), ('bob', 'NN'), ('odenkirk', 'NN'), ('jimmy', 'NN'), ('...', ':'), ('remain', 'VBP'), ('hooked', 'JJ'), ('began', 'VBD'), ('three', 'CD'), ('years', 'NNS'), ('ago', 'RB')]","[('given', 'v'), ('inventive', 'a'), ('skills', 'n'), ('gilligan', 'n'), ('gould', 'v'), ('marvelous', 'a'), ('playing', 'v'), ('bob', 'n'), ('odenkirk', 'n'), ('jimmy', 'n'), ('...', 'n'), ('remain', 'v'), ('hooked', 'a'), ('began', 'v'), ('three', 'n'), ('years', 'n'), ('ago', 'r')]",give inventive skill gilligan gould marvelous play bob odenkirk jimmy ... remain hooked begin three year ago
155,Hugo Rifkind,True,Times (UK),fresh,"['whatever', 'reason', 'good', 'gets', 'tv', 'new', 'novel', 'something', 'far', 'beyond']",https://www.thetimes.co.uk/article/tv-review-giles-smith-on-travels-in-trumpland-with-ed-balls-3m3ssrl7n,"Aug 13, 2018",4,en,"[('whatever', 'WDT'), ('reason', 'NN'), ('good', 'JJ'), ('gets', 'VBZ'), ('tv', 'JJ'), ('new', 'JJ'), ('novel', 'NN'), ('something', 'NN'), ('far', 'RB'), ('beyond', 'IN')]","[('whatever', 'n'), ('reason', 'n'), ('good', 'a'), ('gets', 'v'), ('tv', 'a'), ('new', 'a'), ('novel', 'n'), ('something', 'n'), ('far', 'r'), ('beyond', 'n')]",whatever reason good get tv new novel something far beyond
156,James Jackson,True,Times (UK),fresh,"['another', 'show', 'willingly', 'risks', 'devotion', 'win', 'unconditionally']",https://www.thetimes.co.uk/article/tv-review-horizon-jupiter-revealed-better-call-saul-mqjdthgr3,"Aug 8, 2018",4,en,"[('another', 'DT'), ('show', 'NN'), ('willingly', 'RB'), ('risks', 'VBZ'), ('devotion', 'NN'), ('win', 'NNS'), ('unconditionally', 'RB')]","[('another', 'n'), ('show', 'n'), ('willingly', 'r'), ('risks', 'v'), ('devotion', 'n'), ('win', 'n'), ('unconditionally', 'r')]",another show willingly risk devotion win unconditionally
157,Brandon Katz,False,The Young Folks,fresh,"['put', 'hat', 'hat', 'least', 'yet', 'better', 'call', 'saul', 'stood', 'two', 'feet', 'like', 'jimmy', 'need', 'help', 'big', 'brother']",http://observer.com/2018/08/better-call-saul-breaking-bad-crossover-vince-gilligan-amc/,"Aug 8, 2018",4,en,"[('put', 'VB'), ('hat', 'WP'), ('hat', 'DT'), ('least', 'JJS'), ('yet', 'RB'), ('better', 'JJR'), ('call', 'NN'), ('saul', 'NN'), ('stood', 'VBD'), ('two', 'CD'), ('feet', 'NNS'), ('like', 'IN'), ('jimmy', 'NN'), ('need', 'VBP'), ('help', 'NN'), ('big', 'JJ'), ('brother', 'NN')]","[('put', 'v'), ('hat', 'n'), ('hat', 'n'), ('least', 'a'), ('yet', 'r'), ('better', 'a'), ('call', 'n'), ('saul', 'n'), ('stood', 'v'), ('two', 'n'), ('feet', 'n'), ('like', 'n'), ('jimmy', 'n'), ('need', 'v'), ('help', 'n'), ('big', 'a'), ('brother', 'n')]",put hat hat least yet good call saul stand two foot like jimmy need help big brother
158,Tim Surette,False,TV Guide,fresh,"['time', 'really', 'consider', 'better', 'call', 'saul', 'equalling', 'quality', 'breaking', 'bad', 'ways', 'things', 'even', 'better']",https://www.tvguide.com/news/better-call-saul-season-4-review/,"Aug 7, 2018",4,en,"[('time', 'NN'), ('really', 'RB'), ('consider', 'VB'), ('better', 'JJR'), ('call', 'NN'), ('saul', 'NN'), ('equalling', 'VBG'), ('quality', 'NN'), ('breaking', 'VBG'), ('bad', 'JJ'), ('ways', 'NNS'), ('things', 'NNS'), ('even', 'RB'), ('better', 'RBR')]","[('time', 'n'), ('really', 'r'), ('consider', 'v'), ('better', 'a'), ('call', 'n'), ('saul', 'n'), ('equalling', 'v'), ('quality', 'n'), ('breaking', 'v'), ('bad', 'a'), ('ways', 'n'), ('things', 'n'), ('even', 'r'), ('better', 'r')]",time really consider good call saul equal quality break bad way thing even well
159,James Poniewozik,True,New York Times,fresh,"['better', 'call', 'saul', 'telling', 'smaller', 'story', 'yet', 'better', 'less-better', 'feels', 'like', 'got', 'started']",https://www.nytimes.com/2018/10/08/arts/television/season-4-finale-better-call-saul.html?rref=collection%2Fsectioncollection%2Ftelevision,"Aug 7, 2018",4,en,"[('better', 'RBR'), ('call', 'NN'), ('saul', 'NN'), ('telling', 'VBG'), ('smaller', 'JJR'), ('story', 'NN'), ('yet', 'RB'), ('better', 'RBR'), ('less-better', 'JJ'), ('feels', 'NNS'), ('like', 'IN'), ('got', 'VBD'), ('started', 'VBN')]","[('better', 'r'), ('call', 'n'), ('saul', 'n'), ('telling', 'v'), ('smaller', 'a'), ('story', 'n'), ('yet', 'r'), ('better', 'r'), ('less-better', 'a'), ('feels', 'n'), ('like', 'n'), ('got', 'v'), ('started', 'v')]",well call saul tell small story yet well less-better feel like get start
160,Kevin Yeoman,False,Screen Rant,fresh,"['saul', 'maybe', 'better', 'show', 'tv', 'right', 'make', 'jimmy', ""'s"", 'fabrication', 'new', 'persona', 'somehow', 'gut-wrenching', 'tragic', 'rather', 'depict', 'triumphant', 'emergence', 'show', ""'s"", 'title', 'character']",https://screenrant.com/better-call-saul-season-4-premiere-review/,"Aug 7, 2018",4,en,"[('saul', 'NN'), ('maybe', 'RB'), ('better', 'RBR'), ('show', 'VBP'), ('tv', 'NN'), ('right', 'RB'), ('make', 'VBP'), ('jimmy', 'NN'), (""'s"", 'POS'), ('fabrication', 'NN'), ('new', 'JJ'), ('persona', 'NN'), ('somehow', 'RB'), ('gut-wrenching', 'JJ'), ('tragic', 'NN'), ('rather', 'RB'), ('depict', 'JJ'), ('triumphant', 'JJ'), ('emergence', 'NN'), ('show', 'NN'), (""'s"", 'POS'), ('title', 'NN'), ('character', 'NN')]","[('saul', 'n'), ('maybe', 'r'), ('better', 'r'), ('show', 'v'), ('tv', 'n'), ('right', 'r'), ('make', 'v'), ('jimmy', 'n'), (""'s"", 'n'), ('fabrication', 'n'), ('new', 'a'), ('persona', 'n'), ('somehow', 'r'), ('gut-wrenching', 'a'), ('tragic', 'n'), ('rather', 'r'), ('depict', 'a'), ('triumphant', 'a'), ('emergence', 'n'), ('show', 'n'), (""'s"", 'n'), ('title', 'n'), ('character', 'n')]",saul maybe well show tv right make jimmy 's fabrication new persona somehow gut-wrenching tragic rather depict triumphant emergence show 's title character
